Key,Issue Type,Summary,Status,Created,Backlog,Cancelled,Code Review,Completed,Deployed to production,Done,Draft,In Development,In preprod testing,In Progress,In team environment testing,Open,PAUSED,Peer Review,Ready For Development,Ready for preprod testing,Ready for refinement,Ready For Release,Ready for sign-off,Ready for team environment testing,Ready for testing,Ready to deploy to production,Refinement,Refinement Ready,Released,Researching,Review Ready,Signed off,Sprint ready,Testing,To Do,TODO,Will Not Implement
EPA-2238,Bug,"(Onboarding Blocker) ProdSandbox - The ""My Approvals"" page is not accessible",Deployed to production,2025-03-19 12:17,-,-,-,-,1M 1w 6d 9h 18m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1d 1h 6m,-,-
EPA-2236,Technical Story,FE Automation Project Pipeline creation in Gitlab,Will Not Implement,2025-03-19 08:24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2w 0d 1h 5m,-,1M 0w 0d 13h 11m
EPA-2235,Task,FE Automation Project Pipeline creation in Gitlab,Completed,2025-03-19 07:41,-,-,-,2w 1d 12h 53m,-,-,-,1w 2d 23h 43m,-,2m,-,-,-,-,2w 2d 21h 31m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2d 4h 50m,-,-
EPA-2234,Sub-task,Architecture overview,Completed,2025-03-19 07:40,-,-,-,2w 2d 13h 36m,-,-,-,-,-,4d 22h 14m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3w 2d 3h 9m,-,-
EPA-2233,Sub-task,BE Flow review,Completed,2025-03-19 07:40,-,-,-,2w 2d 13h 36m,-,-,-,-,-,4d 22h 14m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3w 2d 3h 10m,-,-
EPA-2232,Sub-task,FE Flow review ,Completed,2025-03-19 07:40,-,-,-,2w 2d 13h 36m,-,-,-,-,-,4d 22h 14m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3w 2d 3h 10m,-,-
EPA-2231,Bug,Approvals Success Message Not shown,Will Not Implement,2025-03-18 13:16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30m,-,1M 2w 1d 8h 54m
EPA-2230,Task,Front End Test Automation Project & Framework Creation,Completed,2025-03-17 14:37,-,-,-,2w 1d 12h 54m,-,-,-,5d 22h 55m,-,1m,-,-,-,-,2w 6d 22h 18m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3d 21h 54m,-,-
EPA-2229,Task,OpenApi Generator Schema - WH-Interchange-ID parameter configuration,Completed,2025-03-17 13:32,-,-,-,1M 0w 2d 15h 7m,-,-,-,-,-,4d 0h 49m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1w 2d 17h 12m,-,-
EPA-2228,Task,Language changes support,Completed,2025-03-17 08:24,-,-,-,1M 2w 0d 11h 19m,-,-,-,21h 46m,-,1m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1d 3h 35m,-,-,1h 36m,-,-
EPA-2227,Task,Major Release: Regression Testing,Completed,2025-03-14 16:46,-,-,-,1M 0w 1d 14h 0m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22h 25m,-,-,2w 2d 17h 30m,-,-
EPA-2226,Story,BE - Expose Fraud Information for UI - ticket,Deployed to production,2025-03-14 10:41,-,-,-,-,2d 5h 37m,-,-,5d 20h 32m,0m,-,22h 58m,-,-,3d 22h 48m,1w 0d 2h 32m,-,8m,-,41m,1d 3h 20m,-,0m,-,-,-,-,-,4w 0d 5h 23m,-,-,0m,-,-
EPA-2225,Bug,Side Nav shows white space when zoomed out,Will Not Implement,2025-03-14 10:02,-,-,-,-,-,-,-,-,-,-,3h 2m,-,-,-,-,-,1w 3d 20h 21m,-,-,-,-,-,-,-,-,-,-,-,-,-,6d 4h 10m,-,1M 0w 2d 9h 5m
EPA-2224,Bug,Approval Lightbox overlaps with Global Nav,Deployed to production,2025-03-14 09:59,-,-,-,-,2d 2h 17m,-,-,6d 0h 58m,-,-,1w 6d 5h 8m,-,-,1w 2d 23h 27m,4d 21h 19m,-,0m,-,5d 17h 16m,23h 2m,-,-,-,-,-,-,-,10h 58m,-,-,6d 4h 15m,-,-
EPA-2223,Bug,LightBox Comments - User navigation ,Deployed to production,2025-03-13 09:09,-,-,-,-,2w 3d 10h 12m,-,-,1w 3d 23h 27m,-,-,4h 13m,-,-,1w 2d 23h 3m,-,-,-,-,2d 23h 36m,2d 19h 27m,-,-,-,-,-,-,-,1d 1h 51m,-,-,5d 3h 40m,-,-
EPA-2222,Bug,LightBox Users Full Name copy problem,Deployed to production,2025-03-13 08:07,-,-,-,-,4w 1d 9h 31m,-,-,1h 59m,-,-,36m,-,-,3d 0h 23m,3d 22h 21m,-,-,-,5d 2h 0m,16m,-,-,-,-,-,-,-,1w 0d 22h 24m,-,-,1d 3h 3m,-,-
EPA-2221,Bug,User should not be able to add more than 1 comment on an approval lightbox,Deployed to production,2025-03-12 10:38,-,-,-,-,1M 2w 0d 9h 25m,-,-,3d 23h 57m,-,-,3h 10m,-,-,47m,-,-,-,-,1d 22h 18m,48m,-,-,-,-,-,-,-,15m,-,-,23h 21m,-,-
EPA-2220,Bug,Approvals list banners messy on bigger font,Deployed to production,2025-03-10 11:17,-,-,-,-,2w 3d 10h 12m,-,-,4d 3h 59m,-,-,1d 3h 14m,-,-,21h 52m,17h 54m,-,0m,-,5d 19h 45m,29m,-,-,-,-,-,-,-,1w 6d 3h 4m,-,-,1w 3d 2h 54m,-,-
EPA-2219,Sub-task,QA Team functional test,Completed,2025-03-06 13:13,-,-,-,1M 1w 5d 10h 10m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2w 0d 23h 17m,-,0m
EPA-2218,Sub-task,Test case creation,Completed,2025-03-06 13:12,-,-,-,1M 1w 5d 10h 10m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2w 0d 23h 18m,-,-
EPA-2217,Bug,UX Defect paddings on mobile view,Deployed to production,2025-03-05 14:57,-,-,-,-,1M 1w 6d 6h 42m,-,-,22m,-,-,-,-,-,19h 56m,0m,-,-,-,-,3d 3h 54m,-,-,-,-,-,-,-,1w 3d 1h 27m,-,-,23h 21m,-,-
EPA-2216,Automation,BE Auto: Adding Fraud/Misuse test scenario for existing approval APIs,To Do,2025-03-05 12:40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1M 4w 0d 9h 59m,-,-
EPA-2215,Task,BE: fraud-service-parent - Add Cognito support,Completed,2025-03-05 11:05,-,-,-,1M 1w 6d 9h 13m,-,-,-,6d 21h 1m,-,-,2h 38m,-,-,-,1d 1h 52m,-,-,-,2h 37m,-,-,-,-,-,-,-,-,6d 22h 14m,-,-,0m,-,-
EPA-2214,Sub-task,FE - Endpoint respond to checkboxes,To Do,2025-03-05 10:18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1M 4w 0d 12h 22m,-,-
EPA-2213,Sub-task,BE - Enable Cog on Prod-Sandbox,To Do,2025-03-05 10:18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1M 4w 0d 12h 22m,-,-
EPA-2212,Story,Bite Sized Insights - Demo Cog,Ready for refinement,2025-03-05 10:17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1M 4w 0d 12h 23m,-,-,-,-,-,-,-,-,-,-,-,-,-,0m,-,-
EPA-2211,Story,BE: Consume recognition service,Peer Review,2025-03-05 08:52,-,-,-,-,-,-,-,1M 0w 5d 23h 2m,-,-,-,-,-,1w 1d 10h 33m,5d 3h 0m,-,0m,-,-,-,-,-,-,-,-,-,-,-,-,-,1w 2d 1h 13m,-,-
EPA-2210,Story,BE: add missing fields to Recognition Service endpoints (for Orion),Deployed to production,2025-03-05 08:39,-,-,-,-,1M 2w 0d 9h 39m,-,-,1w 5d 21h 48m,-,-,-,-,-,-,23h 12m,-,5h 56m,-,-,-,-,-,-,-,-,-,-,-,-,-,1h 27m,-,-
EPA-2209,Story,BE: Approvals - Support for Misuse/Fraud - List,Deployed to production,2025-03-05 08:08,-,-,-,-,2d 5h 37m,-,-,6d 23h 9m,0m,-,40m,-,-,-,1w 1d 0h 49m,-,1h 3m,-,8m,4m,-,0m,-,-,-,-,-,1M 1w 4d 5h 3m,-,-,1h 59m,-,-
EPA-2208,Defect,UX Review,Will Not Implement,2025-02-28 11:44,-,-,-,0m,-,-,-,-,-,2d 17h 38m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4h 49m,-,1M 4w 2d 12h 28m
EPA-2207,Task,OpsLevel support for Crescendo,Completed,2025-02-27 08:16,-,-,-,1M 2w 1d 9h 38m,-,-,-,-,-,4h 56m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2w 4d 23h 50m,-,-
EPA-2206,Story,FE: Recipient based Levels,Ready for refinement,2025-02-27 07:36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1M 2w 5d 12h 47m,-,-,-,-,-,-,-,-,-,-,-,-,-,2w 1d 2h 17m,-,-
EPA-2205,Story,BE: Recipient based Levels,Ready for refinement,2025-02-27 07:35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1M 2w 5d 12h 46m,-,-,-,-,-,-,-,-,-,-,-,-,-,2w 1d 2h 18m,-,-
EPA-2204,Story,BE - Expose Message to the Approve for Admins,Will Not Implement,2025-02-25 16:19,-,-,-,-,-,-,-,-,1m,-,-,-,-,-,-,-,4w 1d 0h 16m,-,-,-,-,-,-,-,-,-,-,-,-,-,0m,-,1M 1w 0d 6h 5m
EPA-2203,Technical Story,[FE] Passing down authData from wh-host,Deployed to production,2025-02-24 15:07,-,-,-,-,2d 2h 18m,-,-,2d 23h 30m,-,-,6h 7m,-,-,1M 2w 1d 22h 24m,-,-,-,-,21h 29m,1h 15m,-,-,-,-,-,-,-,1d 7h 38m,-,-,1w 6d 18h 52m,-,-
EPA-2202,Sub-task,RDS aurora TF changes,Completed,2025-02-24 13:27,-,-,-,2M 0w 4d 13h 46m,-,-,-,-,-,1d 19h 27m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0m,-,-
EPA-2201,Sub-task,QA Team functional test,Completed,2025-02-24 12:28,-,-,-,2M 0w 6d 7h 59m,-,-,-,-,-,2h 12m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0m,-,-
EPA-2200,Sub-task,Test case creation,Completed,2025-02-24 12:28,-,-,-,2M 0w 6d 7h 59m,-,-,-,-,-,2h 13m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0m,-,-
EPA-2176,Epic,Federate Access for 3 Admin Hub APIs,Will Not Implement,2025-02-21 17:21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3d 23h 27m,-,2M 0w 5d 5h 52m
EPA-2175,Story,Admin Hub Federated Access- Approval APIs (Surge Phase 2),Deployed to production,2025-02-21 13:29,-,-,-,-,1M 1w 6d 10h 54m,-,-,2w 1d 7h 13m,-,-,1h 15m,-,-,-,4d 18h 39m,-,-,-,1h 1m,4d 18h 34m,-,1d 0h 21m,-,-,-,-,-,23h 12m,-,-,2m,-,-
EPA-2174,Sub-task,QA Team functional test,Completed,2025-02-21 13:18,-,-,-,1M 1w 5d 10h 9m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3w 6d 23h 12m,-,-
EPA-2173,Sub-task,Test case creation,Completed,2025-02-21 13:18,-,-,-,2M 0w 4d 6h 49m,-,-,-,-,-,5d 2h 29m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4m,-,-
EPA-2172,Story,BE: Approval Lightbox - Message to the Approver,Deployed to production,2025-02-20 10:20,-,-,-,-,1M 3w 0d 15h 38m,-,-,3d 13h 31m,-,-,20h 40m,-,-,16h 14m,23h 59m,-,-,-,3d 23h 13m,22h 52m,-,-,-,-,-,-,-,1w 1d 19h 52m,-,-,21m,-,-
EPA-2171,Sub-task,kafka distribution config,Completed,2025-02-19 13:44,-,-,-,2M 0w 5d 10h 32m,-,-,-,-,-,5d 21h 31m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54m,-,-
EPA-2170,Sub-task,award balance in recognition account,Completed,2025-02-19 13:11,-,-,-,2M 0w 4d 8h 46m,-,-,-,-,-,1h 3m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6d 23h 41m,-,-
EPA-2169,Sub-task,kafka integration app,Completed,2025-02-19 13:10,-,-,-,2M 0w 4d 10h 13m,-,-,-,-,-,4h 11m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6d 19h 5m,-,-
EPA-2168,Sub-task,scheduled jobs,Completed,2025-02-19 13:10,-,-,-,2M 0w 4d 14h 25m,-,-,-,-,-,4d 17h 42m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2d 1h 23m,-,-
EPA-2167,Sub-task,award balance in main AWS account,Completed,2025-02-19 13:10,-,-,-,2M 0w 4d 14h 25m,-,-,-,-,-,4d 17h 42m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2d 1h 23m,-,-
EPA-2166,Sub-task,integration app,Completed,2025-02-19 13:09,-,-,-,2M 0w 5d 10h 31m,-,-,-,-,-,1d 1h 13m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4d 21h 42m,5m,-,-
EPA-2165,Sub-task,QA Team functional test,Completed,2025-02-19 12:05,-,-,-,2M 0w 2d 11h 58m,-,-,-,-,-,16h 59m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1w 1d 5h 38m,-,-
EPA-2164,Sub-task,Test case creation,Completed,2025-02-19 12:04,-,-,-,2M 0w 3d 4h 56m,-,-,-,-,-,1w 1d 5h 38m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1m,-,-
EPA-2163,Spike,Investigate Re-purposing Approvals to use Program Management Service for available levels ,Completed,2025-02-19 10:26,-,-,-,2M 0w 5d 8h 55m,-,-,-,-,-,6h 20m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5d 20h 58m,-,-
EPA-2162,Epic,Bite Sized Insights - Top Performers Insights (Approvals),PAUSED,2025-02-18 15:14,-,-,-,-,-,-,-,-,-,-,-,-,2d 13h 25m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2M 1w 2d 18h 0m,-,-
EPA-2161,Epic,Bite Sized Insights - Skills Count (Approvals),PAUSED,2025-02-18 15:14,-,-,-,-,-,-,-,-,-,-,-,-,2d 13h 25m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2M 1w 2d 18h 1m,-,-
EPA-2160,Epic,Workhuman iQ Snapshots - Influencers ,Researching,2025-02-18 15:13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2M 1w 5d 7h 10m,-,-,-,-,16m,-,-
EPA-2159,Epic,Bite Sized Insights - Recognition Patterns (Approvals),PAUSED,2025-02-18 15:13,-,-,-,-,-,-,-,-,-,-,-,-,2d 13h 26m,-,-,-,-,-,-,-,-,-,-,-,-,2M 1w 2d 17h 44m,-,-,-,-,17m,-,-
EPA-2158,Epic,Bite Sized Insights - Retention Curve (Approvals),Released,2025-02-18 15:11,-,-,-,-,-,-,-,-,-,-,-,0m,-,-,-,-,-,-,-,-,-,-,-,-,1w 3d 11h 10m,2M 0w 1d 20h 0m,-,-,-,-,18m,-,-
EPA-2157,Automation,Automation - Add new checks to existing automation tests for invalid accept-language test for business API's and channel API's,Completed,2025-02-18 11:47,-,-,-,1M 4w 0d 12h 40m,-,-,-,-,-,1w 4d 4h 4m,-,-,-,17h 31m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3d 0h 39m,-,-
EPA-2156,Story,Approval - delete comments,Ready for refinement,2025-02-18 10:08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4w 1d 13h 39m,-,-,-,-,-,-,-,-,-,-,-,-,-,2w 6d 5h 34m,-,3w 2d 17h 19m
EPA-2155,Story,Approval - edit comments,Ready for refinement,2025-02-18 10:08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4w 1d 13h 39m,-,-,-,-,-,-,-,-,-,-,-,-,-,2w 6d 5h 34m,-,3w 2d 17h 19m
EPA-2154,Story,Approval - View more comments,Ready for refinement,2025-02-18 10:07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4w 1d 13h 39m,-,-,-,-,-,-,-,-,-,-,-,-,-,1M 0w 6d 6h 30m,-,1w 0d 16h 24m
EPA-2153,Story,Approval - Comment Timestamps,Ready for refinement,2025-02-18 10:07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4w 1d 13h 38m,-,-,-,-,-,-,-,-,-,-,-,-,-,1M 0w 6d 6h 30m,-,1w 0d 16h 25m
EPA-2152,Technical Story,[FE] Mock WHiQ components in mock dev mode ,Deployed to production,2025-02-18 09:27,-,-,-,-,2M 0w 6d 7h 13m,-,-,2d 4h 5m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4d 1h 35m,-,-,20m,-,-
EPA-2151,Story,FE: Use correct display of nomination value in lightbox,Deployed to production,2025-02-17 12:53,-,-,-,-,2M 0w 4d 8h 8m,-,-,5h 0m,-,-,5h 35m,-,-,39m,3d 21h 26m,-,1d 0h 39m,-,18h 48m,20h 37m,-,-,-,-,-,-,-,3h 46m,-,-,1d 21h 9m,-,-
EPA-2150,Story,Lightbox - Award Management - Approval Chain not available at 320px,Will Not Implement,2025-02-17 12:48,-,-,-,-,0m,-,2m,-,-,-,-,-,-,-,-,-,5h 48m,-,-,-,-,-,-,-,-,-,-,-,-,-,1d 22h 26m,-,2M 1w 4d 5h 36m
EPA-2149,Sub-task,Local testing,Completed,2025-02-17 09:58,-,-,-,1M 3w 5d 14h 57m,-,-,-,-,-,18h 46m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2w 3d 2h 59m,-,-
EPA-2148,Sub-task,Check/add S2S configs,Completed,2025-02-17 09:57,-,-,-,1M 3w 0d 12h 45m,-,-,-,-,-,2w 6d 20h 4m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2d 3h 55m,-,-
EPA-2147,Sub-task,Create configs in IQ service to call recognition-service (/recognitions endpoint) ,Completed,2025-02-17 09:53,-,-,-,1M 3w 5d 14h 58m,-,-,-,-,-,2w 1d 17h 51m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2d 3h 58m,-,-
EPA-2146,Sub-task,Create endpoint and models,Completed,2025-02-17 09:51,-,-,-,1M 3w 5d 14h 58m,-,-,-,-,-,2w 3d 21h 51m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0m,-,-
EPA-2145,Technical Story,[FE] Automate Jira release creation,To Do,2025-02-16 18:51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2M 2w 0d 3h 49m,-,-
EPA-2144,Story,FE: Pass user language to endpoints,Deployed to production,2025-02-14 14:47,-,-,-,-,2M 0w 6d 7h 13m,-,-,0m,-,-,2d 22h 59m,-,-,23h 21m,1d 1h 5m,-,-,-,44m,1d 19h 35m,-,-,-,-,-,-,-,5h 21m,-,-,2d 23h 35m,-,-
EPA-2143,Story,BE: Validate the passed user language,Deployed to production,2025-02-14 14:45,-,-,-,-,2M 1w 3d 8h 31m,-,-,0m,14m,-,-,-,-,-,2d 0h 36m,4h 0m,-,-,-,-,-,1h 32m,-,-,-,-,-,19h 51m,-,-,2d 21h 10m,-,-
EPA-2142,Story,[FE] Replace initial loader with skeleton ,Deployed to production,2025-02-14 06:55,-,-,-,-,2M 0w 6d 7h 13m,-,-,4d 1h 2m,-,-,1h 16m,-,-,1h 11m,0m,-,-,-,1h 1m,2h 12m,-,-,-,-,-,-,-,6d 1h 1m,-,-,48m,-,-
EPA-2141,Sub-task,FE: Update My Approvals app base on new disapproval reason component,Completed,2025-02-13 09:58,-,-,-,2M 2w 3d 7h 21m,-,-,-,-,-,2h 17m,-,-,-,14m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2h 49m,-,-
EPA-2140,Sub-task,FE: Update disapprove reason lightbox toolkit component,Completed,2025-02-13 09:57,-,-,-,2M 2w 3d 10h 7m,-,-,-,-,-,1h 4m,-,-,-,1h 32m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0m,-,-
EPA-2139,Story,FE: Add language support for Disapproval reason,Deployed to production,2025-02-13 09:48,-,-,-,-,2M 1w 2d 13h 59m,-,-,5h 34m,-,-,2d 22h 17m,-,-,-,-,-,-,-,20h 0m,1d 0h 30m,-,-,-,-,-,-,-,2d 22h 31m,-,-,1m,-,-
EPA-2138,Technical Story,Sunset ABS,Deployed to production,2025-02-12 17:27,-,-,-,-,2M 0w 4d 8h 46m,-,-,1d 1h 22m,-,-,-,-,-,-,-,-,6d 19h 36m,-,-,-,-,33m,-,-,-,-,-,5d 22h 55m,-,-,2m,-,-
EPA-2137,Story,Approval lightbox - soft cap indicator,To Do,2025-02-12 17:24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2M 2w 4d 5h 16m,-,-
EPA-2136,Story,Approval lightbox - Approval Chain Soft Cap update,To Do,2025-02-12 17:24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2M 2w 4d 5h 16m,-,-
EPA-2135,Story,Approval Card - Grouping Approval tickets for Soft Caps,To Do,2025-02-12 17:23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2M 2w 4d 5h 16m,-,-
EPA-2134,Story,Approval Card - Soft Spend Caps Display,To Do,2025-02-12 17:23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2M 2w 4d 5h 17m,-,-
EPA-2133,Story,Approval Lightbox - Spend Cap Warning,Ready for refinement,2025-02-12 17:15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2M 2w 4d 5h 15m,-,-,-,-,-,-,-,-,-,-,-,-,-,9m,-,-
EPA-2132,Story,Approval Card - Spend Cap Indicator,Ready for refinement,2025-02-12 17:14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2M 2w 4d 5h 16m,-,-,-,-,-,-,-,-,-,-,-,-,-,10m,-,-
EPA-2131,Story,Approval Cards - Spend Guidance ,To Do,2025-02-12 17:06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2M 2w 4d 5h 34m,-,-
EPA-2130,Story,Approval Lightbox - Fraud Alert,Deployed to production,2025-02-12 16:54,-,-,-,-,2w 3d 10h 13m,-,-,2d 9h 22m,-,-,1d 5h 3m,-,-,5d 15h 10m,4d 19h 38m,-,4w 0d 20h 37m,-,6d 23h 50m,48m,-,-,-,-,-,-,-,4d 20h 35m,-,-,1w 0d 0h 29m,-,-
EPA-2129,Automation,Auto BE: Adding new use case for emoji and non-Latin characters in Ticket Details and Ticket List Channel APIs,Completed,2025-02-12 16:45,-,-,-,2M 2w 2d 9h 51m,-,-,-,-,-,1d 19h 51m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13m,-,-
